cohort,method,seed,epoch,train_accuracy,val_accuracy
mnist_v2_n5,hybrid_qat,44,1,78.96181818181819,58.66
mnist_v2_n5,hybrid_qat,44,2,92.88,57.58
mnist_v2_n5,hybrid_qat,44,3,94.1,53.8
mnist_v2_n5,hybrid_qat,45,1,78.86181818181818,51.0
mnist_v2_n5,hybrid_qat,45,2,92.44545454545455,57.96
mnist_v2_n5,hybrid_qat,45,3,93.87636363636364,55.48
mnist_v2_n5,hybrid_qat,46,1,77.59636363636363,32.3
mnist_v2_n5,hybrid_qat,46,2,92.49818181818182,38.66
mnist_v2_n5,hybrid_qat,46,3,93.70181818181818,58.72
mnist_v2_n5,lenet5,42,1,93.86363636363636,97.5
mnist_v2_n5,lenet5,42,2,97.90363636363637,97.7
mnist_v2_n5,lenet5,42,3,98.24363636363637,97.34
mnist_v2_n5,lenet5,43,1,93.68181818181819,96.76
mnist_v2_n5,lenet5,43,2,97.88545454545455,98.24
mnist_v2_n5,lenet5,43,3,98.18363636363637,98.2
mnist_v2_n5,lenet5,44,1,94.15636363636364,97.42
mnist_v2_n5,lenet5,44,2,98.11636363636363,98.04
mnist_v2_n5,lenet5,44,3,98.47454545454545,98.14
mnist_v2_n5,lenet5,45,1,94.64181818181818,97.32
mnist_v2_n5,lenet5,45,2,97.94727272727273,97.8
mnist_v2_n5,lenet5,45,3,98.30545454545455,97.96
mnist_v2_n5,lenet5,46,1,94.31090909090909,97.44
mnist_v2_n5,lenet5,46,2,97.86909090909091,98.02
mnist_v2_n5,lenet5,46,3,98.29636363636364,97.92
mnist_v4_n3,phase_filtered_d2nn,42,1,77.41272727272727,77.7
mnist_v4_n3,phase_filtered_d2nn,42,2,86.83454545454545,75.52
mnist_v4_n3,phase_filtered_d2nn,42,3,87.45454545454545,73.94
mnist_v4_n3,phase_filtered_d2nn,43,1,77.35636363636364,77.78
mnist_v4_n3,phase_filtered_d2nn,43,2,86.96545454545455,74.82
mnist_v4_n3,phase_filtered_d2nn,43,3,87.64181818181818,72.72
mnist_v4_n3,phase_filtered_d2nn,44,1,77.58727272727273,76.54
mnist_v4_n3,phase_filtered_d2nn,44,2,86.96909090909091,75.54
mnist_v4_n3,phase_filtered_d2nn,44,3,87.77272727272727,73.08
mnist_v4_n3,hybrid_linear_head,42,1,84.67272727272727,93.68
mnist_v4_n3,hybrid_linear_head,42,2,95.11636363636363,95.84
mnist_v4_n3,hybrid_linear_head,42,3,96.21636363636364,96.38
mnist_v4_n3,hybrid_linear_head,43,1,84.83090909090909,93.64
mnist_v4_n3,hybrid_linear_head,43,2,95.21090909090908,95.76
mnist_v4_n3,hybrid_linear_head,43,3,96.41636363636364,96.74
mnist_v4_n3,hybrid_linear_head,44,1,84.7309090909091,93.62
mnist_v4_n3,hybrid_linear_head,44,2,95.14909090909092,95.0
mnist_v4_n3,hybrid_linear_head,44,3,96.34363636363636,96.3
mnist_v4_n3,hybrid_pool4,42,1,79.25454545454545,92.92
mnist_v4_n3,hybrid_pool4,42,2,94.38,94.92
mnist_v4_n3,hybrid_pool4,42,3,95.70363636363636,96.42
mnist_v4_n3,hybrid_pool4,43,1,81.39272727272727,92.88
mnist_v4_n3,hybrid_pool4,43,2,94.08545454545454,94.56
mnist_v4_n3,hybrid_pool4,43,3,95.32,95.66
mnist_v4_n3,hybrid_pool4,44,1,82.03090909090909,92.3
mnist_v4_n3,hybrid_pool4,44,2,94.22909090909091,95.28
mnist_v4_n3,hybrid_pool4,44,3,95.61454545454545,96.14
fashion_mnist_v3_n3,baseline_d2nn,42,1,70.38181818181818,75.92
fashion_mnist_v3_n3,baseline_d2nn,42,2,78.13090909090909,76.86
fashion_mnist_v3_n3,baseline_d2nn,42,3,78.97272727272727,78.56
fashion_mnist_v3_n3,baseline_d2nn,43,1,69.84181818181818,77.02
fashion_mnist_v3_n3,baseline_d2nn,43,2,77.9309090909091,78.58
fashion_mnist_v3_n3,baseline_d2nn,43,3,79.10363636363637,79.16
fashion_mnist_v3_n3,baseline_d2nn,44,1,69.94909090909091,75.94
fashion_mnist_v3_n3,baseline_d2nn,44,2,78.08,78.42
fashion_mnist_v3_n3,baseline_d2nn,44,3,79.07454545454546,79.76
fashion_mnist_v3_n3,robust_d2nn,42,1,66.94545454545455,73.92
fashion_mnist_v3_n3,robust_d2nn,42,2,75.31272727272727,75.78
fashion_mnist_v3_n3,robust_d2nn,42,3,76.41272727272727,76.72
fashion_mnist_v3_n3,robust_d2nn,43,1,66.56,75.36
fashion_mnist_v3_n3,robust_d2nn,43,2,75.16,76.94
fashion_mnist_v3_n3,robust_d2nn,43,3,76.19818181818182,77.4
fashion_mnist_v3_n3,robust_d2nn,44,1,66.70727272727272,75.04
fashion_mnist_v3_n3,robust_d2nn,44,2,75.05272727272727,77.68
fashion_mnist_v3_n3,robust_d2nn,44,3,76.29454545454546,78.04
fashion_mnist_v3_n3,hybrid,42,1,72.57636363636364,76.84
fashion_mnist_v3_n3,hybrid,42,2,80.44727272727273,81.1
fashion_mnist_v3_n3,hybrid,42,3,82.50909090909092,82.18
fashion_mnist_v3_n3,hybrid,43,1,72.59636363636363,80.16
fashion_mnist_v3_n3,hybrid,43,2,80.65636363636364,82.06
fashion_mnist_v3_n3,hybrid,43,3,82.55454545454545,83.62
fashion_mnist_v3_n3,hybrid,44,1,72.11818181818182,78.54
fashion_mnist_v3_n3,hybrid,44,2,80.67454545454545,81.22
fashion_mnist_v3_n3,hybrid,44,3,82.55090909090909,82.8
