segment_id	segment_order	segment_text	search_query	suggested_insert_text	citation_marker	support_grade	title	journal	family	year	doi	doi_url	authors	score	screening_note
S001	1	Diffractive deep neural networks can perform image classification through trained passive optical propagation.	Diffractive deep neural networks can perform image classification through trained passive optical propagation	(Chang et al., 2018) (Hoshi et al., 2025)	(Chang et al., 2018)	metadata-only candidate	Hybrid optical-electronic convolutional neural networks with optimized diffractive optics for image classification	Scientific Reports	Nature Portfolio	2018	10.1038/s41598-018-30619-y	https://doi.org/10.1038/s41598-018-30619-y	Chang, Julie; Sitzmann, Vincent; Dun, Xiong; Heidrich, Wolfgang; Wetzstein, Gordon	36.265213	Inspect abstract/publisher page before citing this paper as support.
S001	1	Diffractive deep neural networks can perform image classification through trained passive optical propagation.	Diffractive deep neural networks can perform image classification through trained passive optical propagation	(Chang et al., 2018) (Hoshi et al., 2025)	(Hoshi et al., 2025)	metadata-only candidate	Wavefront-aberration-tolerant diffractive deep neural networks using volume holographic optical elements	Scientific Reports	Nature Portfolio	2025	10.1038/s41598-024-82791-z	https://doi.org/10.1038/s41598-024-82791-z	Hoshi, Ikuo; Wakunami, Koki; Ichihashi, Yasuyuki; Oi, Ryutaro	31.762177	Inspect abstract/publisher page before citing this paper as support.
S002	2	Jointly optimized optical front ends and electronic classifiers can trade optical feature compression against classification accuracy.	Jointly optimized optical front ends and electronic classifiers can trade optical feature compression against classification accuracy	(Chang et al., 2018)	(Chang et al., 2018)	metadata-only candidate	Hybrid optical-electronic convolutional neural networks with optimized diffractive optics for image classification	Scientific Reports	Nature Portfolio	2018	10.1038/s41598-018-30619-y	https://doi.org/10.1038/s41598-018-30619-y	Chang, Julie; Sitzmann, Vincent; Dun, Xiong; Heidrich, Wolfgang; Wetzstein, Gordon	28.377224	Inspect abstract/publisher page before citing this paper as support.
S003	3	Photonic neural inference has been demonstrated in edge-oriented systems with experimentally measured low-energy operation.	Photonic neural inference has been demonstrated in edge-oriented systems with experimentally measured low-energy operation	(Witze et al., 2021)	(Witze et al., 2021)	metadata-only candidate	Mars’s core has been measured — and it’s surprisingly large	Nature	Nature Portfolio	2021	10.1038/d41586-021-00696-7	https://doi.org/10.1038/d41586-021-00696-7	Witze, Alexandra	26.285732	Inspect abstract/publisher page before citing this paper as support.
